id	gender	race	ses	schtyp	prgtype	read	write	math	science	socst
149	0	4	1	1	general	63	49	49	66	46
165	0	4	1	1	vocati	36	49	54	61	36
81	0	4	1	1	academic	63	43	59	65	44
67	0	4	1	1	vocati	37	37	42	33	32
70	0	4	1	1	general	57	52	41	47	57
107	0	4	1	1	vocati	47	39	47	42	26
115	0	4	1	1	general	42	49	43	50	56
134	0	4	1	1	general	44	44	39	34	46
169	0	4	1	1	general	55	59	63	69	46
3	0	1	1	1	academic	63	65	48	63	56
5	0	1	1	1	academic	47	40	43	 	31
16	0	1	1	1	vocati	47	31	44	36	36
29	0	2	1	1	general	52	44	49	55	41
38	0	3	1	1	academic	45	57	50	31	56
40	0	3	1	1	general	42	41	43	50	41
119	1	4	1	1	general	42	57	45	50	43
124	1	4	1	1	vocati	42	54	41	42	41
125	1	4	1	1	academic	68	65	58	59	56
129	1	4	1	1	general	44	44	46	47	51
135	1	4	1	1	academic	63	60	65	54	66
147	1	4	1	1	academic	47	62	53	53	61
161	1	4	1	1	academic	57	62	72	61	61
163	1	4	1	1	academic	52	57	64	58	56
173	1	4	1	1	general	50	62	61	63	51
52	1	3	1	1	academic	50	46	53	53	66
54	1	3	1	2	general	47	54	46	50	56
63	1	4	1	1	general	52	65	60	56	51
69	1	4	1	1	vocati	44	44	40	40	31
77	1	4	1	1	academic	61	59	49	44	66
89	1	4	1	1	vocati	35	35	40	51	33
98	1	4	1	1	vocati	57	60	51	53	37
111	1	4	1	1	general	39	54	39	47	36
1	1	1	1	1	vocati	34	44	40	39	41
4	1	1	1	1	academic	44	50	41	39	51
6	1	1	1	1	academic	47	41	46	40	41
8	1	1	1	1	academic	39	44	52	44	48
19	1	1	1	1	general	28	46	43	44	51
23	1	2	1	1	academic	65	65	64	58	71
33	1	2	1	1	academic	57	65	72	54	56
35	1	1	1	2	general	60	54	50	50	51
36	1	3	1	1	general	44	49	44	35	51
37	1	3	1	1	vocati	41	47	40	39	51
43	1	3	1	1	academic	47	37	43	42	46
44	1	3	1	1	vocati	47	62	45	34	46
45	1	3	1	1	vocati	34	35	41	29	26
46	1	3	1	1	academic	45	55	44	34	41
47	1	3	1	1	academic	47	46	49	33	41
133	0	4	2	1	vocati	50	31	40	34	31
155	0	4	2	1	general	44	44	46	39	51
164	0	4	2	1	vocati	31	36	46	39	46
174	0	4	2	2	academic	68	59	71	66	56
53	0	3	2	1	vocati	34	37	46	39	31
56	0	4	2	1	vocati	55	45	46	58	51
58	0	4	2	1	vocati	55	41	40	44	41
68	0	4	2	1	academic	73	67	71	63	66
60	0	4	2	1	academic	57	65	51	63	61
75	0	4	2	1	vocati	60	46	51	53	61
84	0	4	2	1	general	63	57	54	 	51
85	0	4	2	1	general	55	39	57	53	46
108	0	4	2	1	general	34	33	41	36	36
113	0	4	2	1	academic	44	52	51	63	61
126	0	4	2	1	general	42	31	57	47	51
132	0	4	2	1	academic	73	62	73	 	66
136	0	4	2	1	academic	65	59	70	63	51
140	0	4	2	1	vocati	44	41	40	50	26
143	0	4	2	1	vocati	63	63	75	72	66
150	0	4	2	1	vocati	42	41	57	72	31
153	0	4	2	1	vocati	39	31	40	39	51
157	0	4	2	1	general	68	59	58	74	66
167	0	4	2	1	general	63	49	35	66	41
168	0	4	2	1	academic	52	54	57	55	51
171	0	4	2	1	academic	60	54	60	55	66
172	0	4	2	1	academic	47	52	57	53	61
176	0	4	2	2	academic	47	47	41	42	51
177	0	4	2	2	academic	55	59	62	58	51
178	0	4	2	2	vocati	47	57	57	58	46
181	0	4	2	2	academic	50	46	45	58	61
183	0	4	2	2	academic	63	59	49	55	71
185	0	4	2	2	academic	63	57	55	58	41
189	0	4	2	2	academic	47	59	63	53	46
195	0	4	2	2	general	57	57	60	 	56
200	0	4	2	2	academic	68	54	75	 	66
7	0	1	2	1	academic	57	54	59	47	51
9	0	1	2	1	vocati	48	49	52	44	51
11	0	1	2	1	academic	34	46	45	39	36
12	0	1	2	1	vocati	37	44	45	39	46
18	0	1	2	1	vocati	50	33	49	44	36
21	0	1	2	1	general	44	44	61	50	46
22	0	1	2	1	vocati	42	39	39	56	46
24	0	2	2	1	academic	52	62	66	47	46
27	0	2	2	1	academic	53	61	61	57	56
41	0	3	2	1	academic	50	40	45	55	56
48	0	3	2	1	academic	57	55	52	50	51
50	0	3	2	1	general	50	59	42	53	61
121	1	4	2	1	vocati	68	59	53	63	61
122	1	4	2	1	academic	52	59	58	53	66
138	1	4	2	1	vocati	43	57	40	50	51
139	1	4	2	1	academic	68	59	61	55	71
142	1	4	2	1	vocati	47	42	52	39	51
145	1	4	2	1	vocati	42	46	38	36	46
148	1	4	2	1	vocati	42	57	51	47	61
151	1	4	2	1	vocati	47	46	52	48	46
156	1	4	2	1	academic	50	59	53	61	61
158	1	4	2	1	general	52	54	55	53	51
160	1	4	2	1	academic	55	65	55	50	61
162	1	4	2	1	vocati	57	52	40	61	56
166	1	4	2	1	academic	52	59	53	61	51
179	1	4	2	2	academic	47	65	60	50	56
182	1	4	2	2	academic	44	52	43	44	51
184	1	4	2	2	vocati	50	52	53	55	56
186	1	4	2	2	academic	57	62	63	55	41
187	1	4	2	2	general	57	41	57	55	52
190	1	4	2	2	academic	47	59	54	58	46
193	1	4	2	2	academic	44	49	48	39	51
55	1	3	2	2	academic	52	49	49	44	61
57	1	4	2	1	academic	71	65	72	66	56
59	1	4	2	1	academic	65	67	63	55	71
65	1	4	2	1	academic	55	54	66	42	56
66	1	4	2	1	vocati	68	62	56	50	51
71	1	4	2	1	general	57	62	56	58	66
72	1	4	2	1	vocati	42	54	47	47	46
73	1	4	2	1	academic	50	52	53	39	56
74	1	4	2	1	academic	57	50	50	51	58
78	1	4	2	1	academic	39	54	54	53	41
79	1	4	2	1	academic	60	62	49	50	51
83	1	4	2	1	vocati	50	62	41	55	31
87	1	4	2	1	general	50	52	46	50	56
105	1	4	2	1	academic	50	41	45	44	56
106	1	4	2	1	vocati	36	44	37	42	41
109	1	4	2	1	general	42	39	42	42	41
110	1	4	2	1	vocati	52	55	50	54	61
112	1	4	2	1	academic	52	59	48	55	61
116	1	4	2	1	academic	57	59	54	50	56
118	1	4	2	1	general	55	62	58	58	61
2	1	1	2	1	vocati	39	41	33	42	41
10	1	1	2	1	general	47	54	49	53	61
13	1	1	2	1	vocati	47	46	39	47	61
17	1	1	2	1	academic	47	57	48	44	41
25	1	2	2	1	general	47	44	42	42	36
28	1	2	2	1	general	39	53	54	50	41
31	1	2	2	2	general	55	59	52	42	56
42	1	3	2	1	vocati	46	52	55	44	56
123	0	4	3	1	general	68	59	56	63	66
127	0	4	3	1	academic	63	59	57	55	56
146	0	4	3	1	academic	55	62	64	63	66
159	0	4	3	1	academic	55	61	54	49	61
94	0	4	3	1	academic	55	49	61	61	56
97	0	4	3	1	academic	60	54	58	58	61
102	0	4	3	1	academic	52	41	51	53	56
117	0	4	3	1	vocati	34	49	39	42	56
62	0	4	3	1	general	65	65	48	63	66
76	0	4	3	1	academic	47	52	51	50	56
80	0	4	3	1	academic	65	62	68	66	66
86	0	4	3	1	general	44	33	54	58	31
95	0	4	3	1	academic	73	60	71	61	71
103	0	4	3	1	academic	76	52	64	64	61
104	0	4	3	1	academic	54	63	57	55	46
114	0	4	3	1	academic	68	65	62	55	61
128	0	4	3	1	academic	39	33	38	47	41
141	0	4	3	1	vocati	63	44	47	53	56
144	0	4	3	1	general	60	65	58	61	66
154	0	4	3	1	academic	65	65	66	61	66
170	0	4	3	1	academic	47	62	61	69	66
192	0	4	3	2	academic	65	67	63	66	71
196	0	4	3	2	academic	44	38	49	39	46
197	0	4	3	2	academic	50	42	50	36	61
199	0	4	3	2	academic	52	59	50	61	61
14	0	1	3	1	academic	47	41	54	42	56
15	0	1	3	1	vocati	39	39	44	26	42
20	0	1	3	1	academic	60	52	57	61	61
49	0	3	3	1	vocati	50	40	39	49	47
120	1	4	3	1	academic	63	52	54	50	51
130	1	4	3	1	general	43	54	55	55	46
131	1	4	3	1	academic	65	59	57	46	66
137	1	4	3	1	academic	63	65	65	53	61
152	1	4	3	1	academic	55	57	56	58	61
175	1	4	3	2	general	36	57	42	50	41
180	1	4	3	2	academic	71	65	69	58	71
188	1	4	3	2	academic	63	62	56	55	61
191	1	4	3	2	academic	47	52	43	48	61
194	1	4	3	2	academic	63	63	69	61	61
198	1	4	3	2	academic	47	61	51	63	31
51	1	3	3	1	general	42	36	42	31	39
61	1	4	3	1	academic	76	63	60	67	66
64	1	4	3	1	vocati	50	52	45	58	36
82	1	4	3	1	academic	68	62	65	69	61
88	1	4	3	1	academic	68	60	64	69	66
90	1	4	3	1	academic	42	54	50	50	52
91	1	4	3	1	vocati	50	49	56	47	46
92	1	4	3	1	general	52	67	57	63	61
93	1	4	3	1	academic	73	67	62	58	66
96	1	4	3	1	academic	65	54	61	58	56
99	1	4	3	1	general	47	59	56	66	61
100	1	4	3	1	academic	63	65	71	69	71
101	1	4	3	1	academic	60	62	67	50	56
26	1	2	3	1	academic	60	59	62	61	51
30	1	2	3	1	academic	41	59	42	34	51
32	1	2	3	1	vocati	50	67	66	66	56
34	1	1	3	2	academic	73	61	57	55	66
39	1	3	3	1	academic	66	67	67	61	66
